gene_id,transcript_id
ENSG00000092010,ENST00000206451
ENSG00000100911,ENST00000216802
ENSG00000254505,ENST00000347519
ENSG00000100968,ENST00000250373
ENSG00000129518,ENST00000250454
ENSG00000129515,ENST00000355110
ENSG00000092020,ENST00000261475
ENSG00000100906,ENST00000216797
ENSG00000100479,ENST00000216367
ENSG00000165516,ENST00000298307
ENSG00000125375,ENST00000245448
ENSG00000100504,ENST00000216392
ENSG00000197930,ENST00000395686
ENSG00000125378,ENST00000245451
ENSG00000100532,ENST00000216420
ENSG00000168175,ENST00000395468
ENSG00000126777,ENST00000334975
ENSG00000100575,ENST00000216463
ENSG00000100612,ENST00000216500
ENSG00000020426,ENST00000261245
ENSG00000027075,ENST00000332981
ENSG00000100644,ENST00000323441
ENSG00000154001,ENST00000337537
ENSG00000054654,ENST00000341472
ENSG00000100554,ENST00000216442
ENSG00000170348,ENST00000303575
ENSG00000170345,ENST00000303562
ENSG00000119699,ENST00000238682
ENSG00000100577,ENST00000216465
ENSG00000100596,ENST00000216484
ENSG00000100600,ENST00000334869
ENSG00000012963,ENST00000013070
ENSG00000196405,ENST00000392920
ENSG00000080823,ENST00000193029
ENSG00000100664,ENST00000216554
ENSG00000088808,ENST00000202556
ENSG00000142208,ENST00000349310
ENSG00000170779,ENST00000336219
ENSG00000182979,ENST00000331320
ENSG00000104067,ENST00000346128
ENSG00000156970,ENST00000287598
ENSG00000137843,ENST00000260404
ENSG00000128965,ENST00000444189
ENSG00000187446,ENST00000334660
ENSG00000137804,ENST00000260359
ENSG00000067369,ENST00000263801
ENSG00000137767,ENST00000260324
ENSG00000104064,ENST00000220429
ENSG00000069966,ENST00000261837
ENSG00000128989,ENST00000249822
ENSG00000069974,ENST00000336787
ENSG00000069943,ENST00000164305
ENSG00000137845,ENST00000260408
ENSG00000157456,ENST00000288207
ENSG00000140307,ENST00000267869
ENSG00000140416,ENST00000267996
ENSG00000166855,ENST00000300107
ENSG00000074696,ENST00000261875
ENSG00000166949,ENST00000327367
ENSG00000137764,ENST00000178640
ENSG00000129038,ENST00000261921
ENSG00000103653,ENST00000220003
ENSG00000140391,ENST00000267970
ENSG00000140395,ENST00000267973
ENSG00000103876,ENST00000261755
ENSG00000172379,ENST00000303329
ENSG00000103942,ENST00000304231
ENSG00000166503,ENST00000299633
ENSG00000166821,ENST00000300056
